year,region,substance,study,mean,sd,citation
2008,Eastern China,CFC-11,"Park et al., 2021",6.16,1.25,"Park, S. et al. A decline in emissions of CFC-11 and related chemicals from eastern China. Nature 590, 433-437 (2021)."
2009,Eastern China,CFC-11,"Park et al., 2021",8.47,1.42,"Park, S. et al. A decline in emissions of CFC-11 and related chemicals from eastern China. Nature 590, 433-437 (2021)."
2010,Eastern China,CFC-11,"Park et al., 2021",8.78,1.32,"Park, S. et al. A decline in emissions of CFC-11 and related chemicals from eastern China. Nature 590, 433-437 (2021)."
2011,Eastern China,CFC-11,"Park et al., 2021",5.99,1.4,"Park, S. et al. A decline in emissions of CFC-11 and related chemicals from eastern China. Nature 590, 433-437 (2021)."
2012,Eastern China,CFC-11,"Park et al., 2021",6.79,1.53,"Park, S. et al. A decline in emissions of CFC-11 and related chemicals from eastern China. Nature 590, 433-437 (2021)."
2013,Eastern China,CFC-11,"Park et al., 2021",10.08,1.52,"Park, S. et al. A decline in emissions of CFC-11 and related chemicals from eastern China. Nature 590, 433-437 (2021)."
2014,Eastern China,CFC-11,"Park et al., 2021",15.03,1.96,"Park, S. et al. A decline in emissions of CFC-11 and related chemicals from eastern China. Nature 590, 433-437 (2021)."
2015,Eastern China,CFC-11,"Park et al., 2021",12.97,1.7,"Park, S. et al. A decline in emissions of CFC-11 and related chemicals from eastern China. Nature 590, 433-437 (2021)."
2016,Eastern China,CFC-11,"Park et al., 2021",15.67,2.11,"Park, S. et al. A decline in emissions of CFC-11 and related chemicals from eastern China. Nature 590, 433-437 (2021)."
2017,Eastern China,CFC-11,"Park et al., 2021",15.04,2.22,"Park, S. et al. A decline in emissions of CFC-11 and related chemicals from eastern China. Nature 590, 433-437 (2021)."
2018,Eastern China,CFC-11,"Park et al., 2021",10.5,1.6,"Park, S. et al. A decline in emissions of CFC-11 and related chemicals from eastern China. Nature 590, 433-437 (2021)."
2019,Eastern China,CFC-11,"Park et al., 2021",4.96,1.02,"Park, S. et al. A decline in emissions of CFC-11 and related chemicals from eastern China. Nature 590, 433-437 (2021)."
2011,China,CFC-12,"Ma et al., 2024",15.11444,2.32187,"Ma, M. et al. CFC-12 Emissions in China Inferred From Observation and Inverse Modeling. Geophys. Res. Lett. 51, e2024GL109541 (2024)."
2012,China,CFC-12,"Ma et al., 2024",10.78942,1.93435,"Ma, M. et al. CFC-12 Emissions in China Inferred From Observation and Inverse Modeling. Geophys. Res. Lett. 51, e2024GL109541 (2024)."
2013,China,CFC-12,"Ma et al., 2024",15.48856,3.09154,"Ma, M. et al. CFC-12 Emissions in China Inferred From Observation and Inverse Modeling. Geophys. Res. Lett. 51, e2024GL109541 (2024)."
2014,China,CFC-12,"Ma et al., 2024",11.50223,1.85568,"Ma, M. et al. CFC-12 Emissions in China Inferred From Observation and Inverse Modeling. Geophys. Res. Lett. 51, e2024GL109541 (2024)."
2015,China,CFC-12,"Ma et al., 2024",13.46533,2.3462,"Ma, M. et al. CFC-12 Emissions in China Inferred From Observation and Inverse Modeling. Geophys. Res. Lett. 51, e2024GL109541 (2024)."
2016,China,CFC-12,"Ma et al., 2024",13.61092,1.85048,"Ma, M. et al. CFC-12 Emissions in China Inferred From Observation and Inverse Modeling. Geophys. Res. Lett. 51, e2024GL109541 (2024)."
2017,China,CFC-12,"Ma et al., 2024",9.31254,1.47922,"Ma, M. et al. CFC-12 Emissions in China Inferred From Observation and Inverse Modeling. Geophys. Res. Lett. 51, e2024GL109541 (2024)."
2018,China,CFC-12,"Ma et al., 2024",8.93562,1.25999,"Ma, M. et al. CFC-12 Emissions in China Inferred From Observation and Inverse Modeling. Geophys. Res. Lett. 51, e2024GL109541 (2024)."
2019,China,CFC-12,"Ma et al., 2024",5.09714,1.05546,"Ma, M. et al. CFC-12 Emissions in China Inferred From Observation and Inverse Modeling. Geophys. Res. Lett. 51, e2024GL109541 (2024)."
2020,China,CFC-12,"Ma et al., 2024",7.07741,1.14779,"Ma, M. et al. CFC-12 Emissions in China Inferred From Observation and Inverse Modeling. Geophys. Res. Lett. 51, e2024GL109541 (2024)."
2024,China,CFC-12,"Ma et al., 2026",3.6,0.8,"Ma, M. et al. Sustained Decline in CFC-12 Emissions from China: Evidence for Successful Phase-out under the Montreal Protocol and Global Implications. Environ. Sci. Technol. 60, 1791-1799 (2026)."
2008,Eastern China,CFC-12,"Park et al., 2021",2.5,0.9,"Park, S. et al. A decline in emissions of CFC-11 and related chemicals from eastern China. Nature 590, 433-437 (2021)."
2009,Eastern China,CFC-12,"Park et al., 2021",4.23,1,"Park, S. et al. A decline in emissions of CFC-11 and related chemicals from eastern China. Nature 590, 433-437 (2021)."
2010,Eastern China,CFC-12,"Park et al., 2021",4.96,0.99,"Park, S. et al. A decline in emissions of CFC-11 and related chemicals from eastern China. Nature 590, 433-437 (2021)."
2011,Eastern China,CFC-12,"Park et al., 2021",2.89,1.07,"Park, S. et al. A decline in emissions of CFC-11 and related chemicals from eastern China. Nature 590, 433-437 (2021)."
2012,Eastern China,CFC-12,"Park et al., 2021",3.04,1.11,"Park, S. et al. A decline in emissions of CFC-11 and related chemicals from eastern China. Nature 590, 433-437 (2021)."
2013,Eastern China,CFC-12,"Park et al., 2021",4.97,1.14,"Park, S. et al. A decline in emissions of CFC-11 and related chemicals from eastern China. Nature 590, 433-437 (2021)."
2014,Eastern China,CFC-12,"Park et al., 2021",4.47,0.91,"Park, S. et al. A decline in emissions of CFC-11 and related chemicals from eastern China. Nature 590, 433-437 (2021)."
2015,Eastern China,CFC-12,"Park et al., 2021",3.52,0.84,"Park, S. et al. A decline in emissions of CFC-11 and related chemicals from eastern China. Nature 590, 433-437 (2021)."
2016,Eastern China,CFC-12,"Park et al., 2021",3.27,1.39,"Park, S. et al. A decline in emissions of CFC-11 and related chemicals from eastern China. Nature 590, 433-437 (2021)."
2017,Eastern China,CFC-12,"Park et al., 2021",1,0.86,"Park, S. et al. A decline in emissions of CFC-11 and related chemicals from eastern China. Nature 590, 433-437 (2021)."
2018,Eastern China,CFC-12,"Park et al., 2021",0.87,1.17,"Park, S. et al. A decline in emissions of CFC-11 and related chemicals from eastern China. Nature 590, 433-437 (2021)."
2019,Eastern China,CFC-12,"Park et al., 2021",0.46,0.5,"Park, S. et al. A decline in emissions of CFC-11 and related chemicals from eastern China. Nature 590, 433-437 (2021)."
